,date,google_trends_btc
0,2016-01-01,2
1,2016-01-02,2
2,2016-01-03,2
3,2016-01-04,2
4,2016-01-05,2
5,2016-01-06,2
6,2016-01-07,2
7,2016-01-08,2
8,2016-01-09,2
9,2016-01-10,2
10,2016-01-11,2
11,2016-01-12,2
12,2016-01-13,2
13,2016-01-14,2
14,2016-01-15,2
15,2016-01-16,2
16,2016-01-17,3
17,2016-01-18,3
18,2016-01-19,3
19,2016-01-20,3
20,2016-01-21,3
21,2016-01-22,3
22,2016-01-23,3
23,2016-01-24,2
24,2016-01-25,2
25,2016-01-26,2
26,2016-01-27,2
27,2016-01-28,2
28,2016-01-29,2
29,2016-01-30,2
30,2016-01-31,2
31,2016-02-01,2
32,2016-02-02,2
33,2016-02-03,2
34,2016-02-04,2
35,2016-02-05,2
36,2016-02-06,2
37,2016-02-07,2
38,2016-02-08,2
39,2016-02-09,2
40,2016-02-10,2
41,2016-02-11,2
42,2016-02-12,2
43,2016-02-13,2
44,2016-02-14,2
45,2016-02-15,2
46,2016-02-16,2
47,2016-02-17,2
48,2016-02-18,2
49,2016-02-19,2
50,2016-02-20,2
51,2016-02-21,2
52,2016-02-22,2
53,2016-02-23,2
54,2016-02-24,2
55,2016-02-25,2
56,2016-02-26,2
57,2016-02-27,2
58,2016-02-28,2
59,2016-02-29,2
60,2016-03-01,2
61,2016-03-02,2
62,2016-03-03,2
63,2016-03-04,2
64,2016-03-05,2
65,2016-03-06,2
66,2016-03-07,2
67,2016-03-08,2
68,2016-03-09,2
69,2016-03-10,2
70,2016-03-11,2
71,2016-03-12,2
72,2016-03-13,2
73,2016-03-14,2
74,2016-03-15,2
75,2016-03-16,2
76,2016-03-17,2
77,2016-03-18,2
78,2016-03-19,2
79,2016-03-20,2
80,2016-03-21,2
81,2016-03-22,2
82,2016-03-23,2
83,2016-03-24,2
84,2016-03-25,2
85,2016-03-26,2
86,2016-03-27,2
87,2016-03-28,2
88,2016-03-29,2
89,2016-03-30,2
90,2016-03-31,2
91,2016-04-01,2
92,2016-04-02,2
93,2016-04-03,2
94,2016-04-04,2
95,2016-04-05,2
96,2016-04-06,2
97,2016-04-07,2
98,2016-04-08,2
99,2016-04-09,2
100,2016-04-10,2
101,2016-04-11,2
102,2016-04-12,2
103,2016-04-13,2
104,2016-04-14,2
105,2016-04-15,2
106,2016-04-16,2
107,2016-04-17,2
108,2016-04-18,2
109,2016-04-19,2
110,2016-04-20,2
111,2016-04-21,2
112,2016-04-22,2
113,2016-04-23,2
114,2016-04-24,2
115,2016-04-25,2
116,2016-04-26,2
117,2016-04-27,2
118,2016-04-28,2
119,2016-04-29,2
120,2016-04-30,2
121,2016-05-01,4
122,2016-05-02,4
123,2016-05-03,4
124,2016-05-04,4
125,2016-05-05,4
126,2016-05-06,4
127,2016-05-07,4
128,2016-05-08,2
129,2016-05-09,2
130,2016-05-10,2
131,2016-05-11,2
132,2016-05-12,2
133,2016-05-13,2
134,2016-05-14,2
135,2016-05-15,2
136,2016-05-16,2
137,2016-05-17,2
138,2016-05-18,2
139,2016-05-19,2
140,2016-05-20,2
141,2016-05-21,2
142,2016-05-22,2
143,2016-05-23,2
144,2016-05-24,2
145,2016-05-25,2
146,2016-05-26,2
147,2016-05-27,2
148,2016-05-28,2
149,2016-05-29,3
150,2016-05-30,3
151,2016-05-31,3
152,2016-06-01,3
153,2016-06-02,3
154,2016-06-03,3
155,2016-06-04,3
156,2016-06-05,3
157,2016-06-06,3
158,2016-06-07,3
159,2016-06-08,3
160,2016-06-09,3
161,2016-06-10,3
162,2016-06-11,3
163,2016-06-12,4
164,2016-06-13,4
165,2016-06-14,4
166,2016-06-15,4
167,2016-06-16,4
168,2016-06-17,4
169,2016-06-18,4
170,2016-06-19,4
171,2016-06-20,4
172,2016-06-21,4
173,2016-06-22,4
174,2016-06-23,4
175,2016-06-24,4
176,2016-06-25,4
177,2016-06-26,3
178,2016-06-27,3
179,2016-06-28,3
180,2016-06-29,3
181,2016-06-30,3
182,2016-07-01,3
183,2016-07-02,3
184,2016-07-03,3
185,2016-07-04,3
186,2016-07-05,3
187,2016-07-06,3
188,2016-07-07,3
189,2016-07-08,3
190,2016-07-09,3
191,2016-07-10,3
192,2016-07-11,3
193,2016-07-12,3
194,2016-07-13,3
195,2016-07-14,3
196,2016-07-15,3
197,2016-07-16,3
198,2016-07-17,2
199,2016-07-18,2
200,2016-07-19,2
201,2016-07-20,2
202,2016-07-21,2
203,2016-07-22,2
204,2016-07-23,2
205,2016-07-24,2
206,2016-07-25,2
207,2016-07-26,2
208,2016-07-27,2
209,2016-07-28,2
210,2016-07-29,2
211,2016-07-30,2
212,2016-07-31,3
213,2016-08-01,3
214,2016-08-02,3
215,2016-08-03,3
216,2016-08-04,3
217,2016-08-05,3
218,2016-08-06,3
219,2016-08-07,2
220,2016-08-08,2
221,2016-08-09,2
222,2016-08-10,2
223,2016-08-11,2
224,2016-08-12,2
225,2016-08-13,2
226,2016-08-14,2
227,2016-08-15,2
228,2016-08-16,2
229,2016-08-17,2
230,2016-08-18,2
231,2016-08-19,2
232,2016-08-20,2
233,2016-08-21,2
234,2016-08-22,2
235,2016-08-23,2
236,2016-08-24,2
237,2016-08-25,2
238,2016-08-26,2
239,2016-08-27,2
240,2016-08-28,2
241,2016-08-29,2
242,2016-08-30,2
243,2016-08-31,2
244,2016-09-01,2
245,2016-09-02,2
246,2016-09-03,2
247,2016-09-04,2
248,2016-09-05,2
249,2016-09-06,2
250,2016-09-07,2
251,2016-09-08,2
252,2016-09-09,2
253,2016-09-10,2
254,2016-09-11,2
255,2016-09-12,2
256,2016-09-13,2
257,2016-09-14,2
258,2016-09-15,2
259,2016-09-16,2
260,2016-09-17,2
261,2016-09-18,2
262,2016-09-19,2
263,2016-09-20,2
264,2016-09-21,2
265,2016-09-22,2
266,2016-09-23,2
267,2016-09-24,2
268,2016-09-25,2
269,2016-09-26,2
270,2016-09-27,2
271,2016-09-28,2
272,2016-09-29,2
273,2016-09-30,2
274,2016-10-01,2
275,2016-10-02,2
276,2016-10-03,2
277,2016-10-04,2
278,2016-10-05,2
279,2016-10-06,2
280,2016-10-07,2
281,2016-10-08,2
282,2016-10-09,2
283,2016-10-10,2
284,2016-10-11,2
285,2016-10-12,2
286,2016-10-13,2
287,2016-10-14,2
288,2016-10-15,2
289,2016-10-16,2
290,2016-10-17,2
291,2016-10-18,2
292,2016-10-19,2
293,2016-10-20,2
294,2016-10-21,2
295,2016-10-22,2
296,2016-10-23,3
297,2016-10-24,3
298,2016-10-25,3
299,2016-10-26,3
300,2016-10-27,3
301,2016-10-28,3
302,2016-10-29,3
303,2016-10-30,3
304,2016-10-31,3
305,2016-11-01,3
306,2016-11-02,3
307,2016-11-03,3
308,2016-11-04,3
309,2016-11-05,3
310,2016-11-06,3
311,2016-11-07,3
312,2016-11-08,3
313,2016-11-09,3
314,2016-11-10,3
315,2016-11-11,3
316,2016-11-12,3
317,2016-11-13,3
318,2016-11-14,3
319,2016-11-15,3
320,2016-11-16,3
321,2016-11-17,3
322,2016-11-18,3
323,2016-11-19,3
324,2016-11-20,3
325,2016-11-21,3
326,2016-11-22,3
327,2016-11-23,3
328,2016-11-24,3
329,2016-11-25,3
330,2016-11-26,3
331,2016-11-27,3
332,2016-11-28,3
333,2016-11-29,3
334,2016-11-30,3
335,2016-12-01,3
336,2016-12-02,3
337,2016-12-03,3
338,2016-12-04,3
339,2016-12-05,3
340,2016-12-06,3
341,2016-12-07,3
342,2016-12-08,3
343,2016-12-09,3
344,2016-12-10,3
345,2016-12-11,3
346,2016-12-12,3
347,2016-12-13,3
348,2016-12-14,3
349,2016-12-15,3
350,2016-12-16,3
351,2016-12-17,3
352,2016-12-18,4
353,2016-12-19,4
354,2016-12-20,4
355,2016-12-21,4
356,2016-12-22,4
357,2016-12-23,4
358,2016-12-24,4
359,2016-12-25,5
360,2016-12-26,5
361,2016-12-27,5
362,2016-12-28,5
363,2016-12-29,5
364,2016-12-30,5
365,2016-12-31,5
366,2017-01-01,7
367,2017-01-02,7
368,2017-01-03,7
369,2017-01-04,7
370,2017-01-05,7
371,2017-01-06,7
372,2017-01-07,7
373,2017-01-08,6
374,2017-01-09,6
375,2017-01-10,6
376,2017-01-11,6
377,2017-01-12,6
378,2017-01-13,6
379,2017-01-14,6
380,2017-01-15,4
381,2017-01-16,4
382,2017-01-17,4
383,2017-01-18,4
384,2017-01-19,4
385,2017-01-20,4
386,2017-01-21,4
387,2017-01-22,4
388,2017-01-23,4
389,2017-01-24,4
390,2017-01-25,4
391,2017-01-26,4
392,2017-01-27,4
393,2017-01-28,4
394,2017-01-29,4
395,2017-01-30,4
396,2017-01-31,4
397,2017-02-01,4
398,2017-02-02,4
399,2017-02-03,4
